,date,year,month,SIE,AO,BS,CS,ESS,LS,KS,BNS,GS,CA,HB,BB
0,2012-08-01,2012,8,3784375,2188125,317500,257500,383750,150625,7500,54375,95625,303125,21875,0
1,2012-08-02,2012,8,3817500,2180625,332500,230625,438125,155625,14375,41875,120625,285000,16875,1250
2,2012-08-03,2012,8,3608750,2193125,261250,205625,338125,162500,19375,35000,113125,262500,16250,0
3,2012-08-04,2012,8,3522500,2157500,224375,294375,263125,165625,18125,45000,88125,243125,18750,1875
4,2012-08-05,2012,8,3431875,2135000,330000,114375,271250,164375,16875,46875,116875,220000,14375,1875
5,2012-08-06,2012,8,3430625,2164375,210000,185000,273750,163125,10625,46250,136250,221250,18750,1250
6,2012-08-07,2012,8,3426875,2166250,305000,168125,225625,160000,5625,56250,136250,193125,9375,1250
7,2012-08-08,2012,8,3420625,2187500,285625,166875,229375,172500,6250,57500,94375,206875,6875,625
8,2012-08-09,2012,8,3300625,2153125,263125,148125,223750,166875,7500,38125,59375,230000,9375,1250
9,2012-08-10,2012,8,3218125,2121875,257500,161875,188750,135000,8125,37500,48125,250625,1875,1250
10,2012-08-11,2012,8,3218750,2107500,270000,152500,133125,145000,6875,28125,98750,261875,11250,0
11,2012-08-12,2012,8,3121875,2087500,246250,106250,160000,145625,7500,46250,52500,268125,625,1250
12,2012-08-13,2012,8,3063125,2059375,256875,115000,92500,139375,11875,43125,65000,275625,1875,625
13,2012-08-14,2012,8,3047500,2070000,263750,58750,70625,134375,9375,49375,103125,275000,11875,625
14,2012-08-15,2012,8,2953750,2040000,251250,44375,61875,121250,5625,46875,96875,279375,3750,1875
15,2012-08-16,2012,8,2968125,2090000,245000,80000,76250,58125,1875,59375,84375,272500,0,625
16,2012-08-17,2012,8,2988125,2056250,209375,70625,135000,55000,3125,59375,115625,270000,12500,0
17,2012-08-18,2012,8,3039375,2077500,181875,60625,133125,110000,4375,58125,124375,276875,11875,0
18,2012-08-19,2012,8,2931250,2058125,185625,56250,121250,108125,3125,52500,91250,251250,3125,0
19,2012-08-20,2012,8,2873750,2088750,158125,49375,111250,53750,1250,66250,98125,242500,1250,1250
20,2012-08-21,2012,8,2795000,2028125,166250,23125,113750,23125,0,67500,110000,260625,1875,0
21,2012-08-22,2012,8,2763750,2021875,179375,36875,63125,40000,0,66875,97500,255000,1250,1875
22,2012-08-23,2012,8,2733750,2003125,217500,25625,43125,41875,0,62500,81875,256875,0,1250
23,2012-08-24,2012,8,2728125,2001250,217500,20000,43125,40625,0,51875,101250,250000,0,1250
24,2012-08-25,2012,8,2683750,1993125,205625,13750,43125,33125,0,50000,92500,251250,0,1250
25,2012-08-26,2012,8,2568125,1915625,181875,10000,41250,32500,0,43125,96250,238125,0,1875
26,2012-08-27,2012,8,2535000,1959375,164375,10625,40625,41250,0,24375,89375,200625,0,3125
27,2012-08-28,2012,8,2541250,1966250,159375,11250,47500,40625,0,24375,90625,195000,0,3750
28,2012-08-29,2012,8,2469375,1900000,160625,4375,41250,39375,0,24375,105625,188750,0,3750
29,2012-08-30,2012,8,2482500,1884375,177500,5625,38125,43125,0,21875,120000,188125,0,3125
30,2012-08-31,2012,8,2394375,1842500,182500,10000,34375,38125,0,20625,78750,183750,0,3125
31,2012-09-01,2012,9,2471250,1891250,185000,10625,30625,39375,0,17500,104375,190625,0,1875
32,2012-09-02,2012,9,2468750,1863750,188750,15000,30625,31875,0,16875,108125,211250,0,1875
33,2012-09-03,2012,9,2422500,1783750,194375,17500,26875,28125,0,20625,136250,213125,0,1250
34,2012-09-04,2012,9,2439375,1783750,211875,15625,23750,26250,0,18750,134375,217500,0,1875
35,2012-09-05,2012,9,2460625,1811875,212500,15000,22500,28125,0,21250,129375,216875,0,1875
36,2012-09-06,2012,9,2473125,1823750,200000,18750,23750,24375,0,23750,134375,220625,0,2500
37,2012-09-07,2012,9,2435625,1756250,203125,25000,20625,30625,0,26875,163750,203750,0,5625
38,2012-09-08,2012,9,2423125,1701875,220000,34375,27500,23750,0,27500,180000,200000,0,6875
39,2012-09-09,2012,9,2446875,1717500,228125,43125,27500,20625,0,25625,180000,198125,0,5625
40,2012-09-10,2012,9,2348125,1626250,231250,43125,31250,19375,0,30000,163750,196250,0,6875
41,2012-09-11,2012,9,2345625,1607500,240625,51875,31250,14375,0,30000,167500,199375,0,3125
42,2012-09-12,2012,9,2335000,1610625,236250,54375,32500,11875,0,21250,163750,199375,0,4375
43,2012-09-13,2012,9,2372500,1671875,233750,62500,35625,11875,0,20000,121875,209375,0,5625
44,2012-09-14,2012,9,2387500,1643125,248750,68750,37500,11875,0,19375,120000,229375,0,8125
45,2012-09-15,2012,9,2344375,1568750,253125,71875,38125,13750,0,15000,138125,236875,0,8125
46,2012-09-16,2012,9,2369375,1589375,261875,74375,45625,18125,0,11250,129375,228125,0,11250
47,2012-09-17,2012,9,2475000,1653750,266875,82500,53125,29375,0,10625,131875,234375,0,11875
48,2012-09-18,2012,9,2480625,1646250,262500,85000,68125,33125,0,5625,131875,236250,0,11875
49,2012-09-19,2012,9,2586875,1713125,272500,86875,73125,45625,0,3750,139375,240625,0,11875
50,2012-09-20,2012,9,2676250,1767500,285000,91875,75625,33750,0,3125,151250,255000,0,11875
51,2012-09-21,2012,9,2676875,1768750,293125,89375,76250,31250,0,3125,153750,250625,0,10625
52,2012-09-22,2012,9,2673125,1774375,289375,82500,81250,25000,0,4375,147500,255000,0,12500
53,2012-09-23,2012,9,2761875,1815625,287500,84375,88125,24375,0,6250,178750,264375,0,12500
54,2012-09-24,2012,9,2800625,1848125,252500,100000,80625,32500,0,8750,220000,244375,0,13750
55,2012-09-25,2012,9,2902500,1931250,256875,107500,76875,41250,0,11875,233125,228750,0,13125
56,2012-09-26,2012,9,2950000,1956875,250625,105625,93125,46250,0,13750,246250,223125,0,14375
57,2012-09-27,2012,9,3056250,1991875,277500,124375,103125,39375,0,19375,261250,226250,0,12500
58,2012-09-28,2012,9,3127500,2023750,296250,130625,109375,37500,0,21250,257500,240625,0,10625
59,2012-09-29,2012,9,3206250,2061875,301250,140000,141250,46875,0,24375,238125,239375,0,11875
60,2012-09-30,2012,9,3269375,2082500,309375,156875,136875,62500,0,26250,236875,246875,0,10625
61,2012-10-01,2012,10,3333750,2105625,315625,153750,133750,73750,0,26875,242500,269375,0,12500
62,2012-10-02,2012,10,3346875,2121250,311250,149375,133125,81875,0,29375,227500,278125,0,15000
63,2012-10-03,2012,10,3372500,2122500,310000,146875,140625,95625,0,24375,228125,290625,0,13125
