,date,SIE,AO,BS,CS,ESS,LS,KS,BNS,GS,CA,HB,BB
0,2013-01-01,11578750.0,2205625.0,988750.0,1184375.0,1225000.0,797500.0,757500.0,73125.0,415000.0,1131875.0,1121875.0,690000.0
1,2013-01-02,11648125.0,2196875.0,988750.0,1183750.0,1225000.0,797500.0,765625.0,73125.0,416875.0,1133125.0,1122500.0,680000.0
2,2013-01-03,11738125.0,2192500.0,988750.0,1191875.0,1224375.0,797500.0,751250.0,73750.0,426875.0,1131250.0,1123125.0,701875.0
3,2013-01-04,11808750.0,2193750.0,988750.0,1191875.0,1224375.0,797500.0,737500.0,76250.0,439375.0,1128125.0,1122500.0,715000.0
4,2013-01-05,11844375.0,2193750.0,988750.0,1185625.0,1224375.0,797500.0,728125.0,83750.0,428750.0,1126875.0,1123750.0,746875.0
5,2013-01-06,11934375.0,2185000.0,988750.0,1183125.0,1224375.0,797500.0,735000.0,91875.0,428750.0,1131875.0,1123125.0,775000.0
6,2013-01-07,12028750.0,2159375.0,988750.0,1190000.0,1225000.0,797500.0,751250.0,87500.0,451875.0,1133125.0,1123750.0,771875.0
7,2013-01-08,12051250.0,2141250.0,988750.0,1199375.0,1225000.0,797500.0,751875.0,93125.0,457500.0,1133750.0,1121250.0,750000.0
8,2013-01-09,12059375.0,2163125.0,988750.0,1205000.0,1225000.0,797500.0,733750.0,110000.0,450625.0,1131250.0,1121875.0,762500.0
9,2013-01-10,12162500.0,2178125.0,988750.0,1203750.0,1225000.0,797500.0,742500.0,135000.0,451250.0,1120625.0,1123125.0,796875.0
10,2013-01-11,12221250.0,2195625.0,988750.0,1199375.0,1224375.0,797500.0,762500.0,131875.0,465000.0,1127500.0,1120625.0,825625.0
11,2013-01-12,12357500.0,2223125.0,988750.0,1196875.0,1224375.0,796875.0,794375.0,139375.0,470000.0,1131250.0,1121250.0,864375.0
12,2013-01-13,12378125.0,2239375.0,988750.0,1187500.0,1224375.0,797500.0,802500.0,148125.0,461250.0,1132500.0,1120000.0,821875.0
13,2013-01-14,12462500.0,2251875.0,988125.0,1182500.0,1225000.0,797500.0,813125.0,171875.0,454375.0,1130625.0,1122500.0,797500.0
14,2013-01-15,12609375.0,2254375.0,988750.0,1190000.0,1225000.0,797500.0,839375.0,221875.0,449375.0,1131875.0,1123125.0,790000.0
15,2013-01-16,12726875.0,2250000.0,988750.0,1198125.0,1225000.0,797500.0,865625.0,258125.0,460625.0,1120000.0,1123125.0,835000.0
16,2013-01-17,12679375.0,2239375.0,988750.0,1206250.0,1225000.0,797500.0,886875.0,229375.0,450625.0,1113125.0,1118125.0,852500.0
17,2013-01-18,12634375.0,2234375.0,988750.0,1206250.0,1225000.0,797500.0,904375.0,216250.0,451875.0,1116250.0,1118750.0,896250.0
18,2013-01-19,12649375.0,2248125.0,988750.0,1206250.0,1225000.0,797500.0,914375.0,219375.0,445625.0,1103750.0,1120000.0,920000.0
19,2013-01-20,12658125.0,2243125.0,988750.0,1201250.0,1224375.0,797500.0,918125.0,275000.0,437500.0,1106250.0,1121875.0,913750.0
20,2013-01-21,12726875.0,2243125.0,988750.0,1195625.0,1225000.0,797500.0,905000.0,280625.0,448750.0,1103125.0,1123750.0,926250.0
21,2013-01-22,12766250.0,2255625.0,988750.0,1191250.0,1224375.0,795625.0,880625.0,255000.0,451250.0,1096875.0,1121250.0,900000.0
22,2013-01-23,12774375.0,2251875.0,988750.0,1186875.0,1225000.0,796875.0,873750.0,219375.0,454375.0,1090000.0,1120625.0,881875.0
23,2013-01-24,12919375.0,2251875.0,988750.0,1191875.0,1224375.0,797500.0,876250.0,231875.0,465625.0,1085625.0,1113125.0,890625.0
24,2013-01-25,13045625.0,2256875.0,988750.0,1200625.0,1224375.0,797500.0,887500.0,278125.0,469375.0,1086875.0,1111875.0,866875.0
25,2013-01-26,13093125.0,2260000.0,988750.0,1206250.0,1224375.0,797500.0,895000.0,313750.0,466250.0,1087500.0,1119375.0,873750.0
26,2013-01-27,13112500.0,2260000.0,988750.0,1206250.0,1225000.0,797500.0,899375.0,340625.0,466875.0,1100000.0,1121250.0,900625.0
27,2013-01-28,13141250.0,2263125.0,988750.0,1206250.0,1225000.0,797500.0,905625.0,351250.0,466250.0,1121250.0,1120625.0,910625.0
28,2013-01-29,13146875.0,2261250.0,988750.0,1206250.0,1225000.0,797500.0,902500.0,366250.0,468125.0,1130625.0,1121250.0,928750.0
29,2013-01-30,13130625.0,2264375.0,988750.0,1206250.0,1225000.0,797500.0,894375.0,360625.0,468750.0,1130000.0,1122500.0,953750.0
30,2013-01-31,13160000.0,2264375.0,988750.0,1206250.0,1224375.0,797500.0,890000.0,334375.0,474375.0,1133125.0,1119375.0,943750.0
31,2013-02-01,13181875.0,2264375.0,988750.0,1206250.0,1225000.0,797500.0,888750.0,320000.0,486875.0,1130000.0,1112500.0,923125.0
32,2013-02-02,13165625.0,2268125.0,988750.0,1204375.0,1225000.0,797500.0,892500.0,320000.0,489375.0,1115000.0,1109375.0,905625.0
33,2013-02-03,13196875.0,2265000.0,988750.0,1198750.0,1225000.0,797500.0,894375.0,308750.0,484375.0,1113125.0,1123125.0,965625.0
34,2013-02-04,13221875.0,2259375.0,988750.0,1200000.0,1224375.0,797500.0,891250.0,306875.0,477500.0,1120000.0,1122500.0,988125.0
35,2013-02-05,13215625.0,2260625.0,988750.0,1204375.0,1224375.0,797500.0,885000.0,300000.0,485625.0,1127500.0,1122500.0,950000.0
36,2013-02-06,13267500.0,2265000.0,988750.0,1206250.0,1224375.0,797500.0,889375.0,291875.0,491875.0,1123750.0,1110625.0,930000.0
